experiment_name,FOV,trench_id,gene,Start_frame,End_frame,resegmented?,trackasrta? ,working on,NOTES,,
DUMM_giTG064_Glucose_022625,1,189,gfcE,,,FALSE,FALSE,Adrian,finally got drift correction working correctly now need to finish segmenting new set of images ,could also benefit from new drift correction,
DUMM_giTG064_Glucose_022625,1,415,gfcE,,,FALSE,FALSE,Adrian,,could also benefit from new drift correction,
DUMM_giTG064_Glucose_022625,1,867,gfcE,,,FALSE,FALSE,Adrian,,could also benefit from new drift correction,
DUMM_giTG064_Glucose_022625,1,943,gfcE,,,FALSE,FALSE,Adrian,,could also benefit from new drift correction,
DUMM_giTG064_Glucose_022625,1,1697,gfcE,,,FALSE,FALSE,Adrian,,could also benefit from new drift correction,
DUMM_giTG064_Glucose_022625,1,2376,gfcE,,,FALSE,FALSE,Adrian,,could also benefit from new drift correction,
DUMM_giTG064_Glucose_022625,15,796,gfcE,,,FALSE,FALSE,Adrian,,mising one frame that got corrupted ,
DUMM_giTG69_Glucose_013025,7,295,gldA,29,165,TRUE,FALSE,Adrian,,,
DUMM_giTG69_Glucose_013025,7,371,gldA,46,null,TRUE,FALSE,Adrian,,,
DUMM_giTG69_Glucose_013025,7,521,gldA,29,null,TRUE,FALSE,Adrian,,,
DUMM_giTG69_Glucose_013025,7,597,gldA,,,FALSE,FALSE,Adrian,redo segmentation before making edits ,,
DUMM_giTG69_Glucose_013025,7,1124,gldA,33,null,TRUE,FALSE,Adrian, ,ignore very long cells in segmentation ,
DUMM_giTG068_063_061725_v2,6,1292,alkA,,,FALSE,FALSE,Adrian,,could also benefit from new drift correction,
DUMM_giTG068_063_061725_v2,6,1368,alkA,,,FALSE,FALSE,Adrian,,could also benefit from new drift correction,
DUMM_giTG068_063_061725_v2,6,1596,alkA,,,FALSE,FALSE,Adrian,,could also benefit from new drift correction,
DUMM_giTG63_giTG67_Glucose_121724_1_v2,5,296,alkA,,,FALSE,FALSE,Adrian,,"remove frames:  46-48, 55-56, 75",
DUMM_giTG63_giTG67_Glucose_121724_1_v2,5,756,alkA,,,FALSE,FALSE,Adrian,,,
DUMM_giTG63_giTG67_Glucose_121724_1_v2,5,1217,alkA,,,FALSE,FALSE,Adrian,,,
DUMM_giTG63_giTG67_Glucose_121724_1_v2,5,2210,alkA,,,FALSE,FALSE,Adrian,,,
DUMM_giTG059_060_061125,8,431,lacZ,0,79,TRUE,FALSE,Adrian,"looks like some timepoints are out of frame

Might benefit from rerunning drift correction",,
DUMM_giTG059_060_061125,8,1488,lacZ,0,null,TRUE,FALSE,Adrian,"looks like some timepoints are out of frame

Might benefit from rerunning drift correction",,
DUMM_giTG059_060_061125,15,1826,mazF,0,76,TRUE,FALSE,Heena,ask Adrian to check work,,
DUMM_giTG068_052925,5,387,hupA,,,FALSE,FALSE,Adrian,,could also benefit from new drift correction,
DUMM_giTG068_052925,5,539,hupA,,,FALSE,FALSE,Adrian,,could also benefit from new drift correction,
DUMM_giTG068_052925,5,1906,hupA,,,FALSE,FALSE,Adrian,,could also benefit from new drift correction,
DUMM_giTG068_052925,5,843,hupA,,,FALSE,FALSE,Adrian,,could also benefit from new drift correction,
DUMM_giTG068_052925,5,2209,hupA,,,FALSE,FALSE,Adrian,,could also benefit from new drift correction,
DUMM_giTG068_063_061725,0,1750,hupA,,,FALSE,FALSE,Adrian,,could also benefit from new drift correction,
DUMM_giTG068_063_061725,12,1565,hupA,,,FALSE,FALSE,Adrian,,could also benefit from new drift correction,
DUMM_giTG062_064_121325,5,1162,chpS,5,31,TRUE,FALSE,Adrian,,Could also try 5 -> 71,
DUMM_giTG062_064_121325,10,46,chpS,0,14,TRUE,FALSE,Adrian,,,
DUMM_giTG062_064_121325,10,1188,chpS,0,41,TRUE,FALSE,Adrian,,,
DUMM_giTG062_064_121325,10,1417,chpS,14,null,TRUE,FALSE,Adrian,,,
DUMM_giTG062_064_121325,10,1493,chpS,63,null,TRUE,FALSE,Adrian,,,
DUMM_giTG062_064_121325,12,518,chpS,19,null,TRUE,FALSE,Adrian,,,
DUMM_giTG062_064_121325,12,979,chpS,0,68,TRUE,FALSE,Adrian,,something going on fr4ames 33-34,
DUMM_giTG062_064_121325,15,249,gfcE,43,null,TRUE,FALSE,Adrian,,,
DUMM_giTG062_064_121325,15,1235,gfcE,16,null,TRUE,FALSE,Adrian,,,
DUMM_giTG062_064_121325,15,401,gfcE,0,36,TRUE,FALSE,Adrian,,,
DUMM_giTG062_064_121325,19,743,gfcE,28,84,TRUE,FALSE,Adrian,try new subtraction method? ,,
DUMM_giTG062_064_121325,19,351,gfcE,,,FALSE,FALSE,Adrian,,,
DUMM_giTG062_064_121325,19,1740,gfcE,1,33,TRUE,FALSE,Adrian,,,
DUMM_gitg068_baeS_100225,13,499,baeS,0,87,TRUE,FALSE,Adrian,if doens't work try 57-87 & 0-47 frames separately ,,
DUMM_gitg068_baeS_100225,13,574,baeS,0,85,TRUE,FALSE,Adrian,,,
DUMM_gitg068_baeS_100225,17,1103,baeS,9,null,TRUE,FALSE,Adrian,,,
DUMM_gitg068_baeS_100225,17,802,baeS,0,null,TRUE,FALSE,Adrian,if fails try 35-null & 10-34,,
DUMM_gitg068_baeS_100225,17,726,baeS,0,null,TRUE,FALSE,Adrian,,,
DUMM_gitg068_baeS_100225,17,280,baeS,0,35,TRUE,FALSE,Adrian,,,
DUMM_gitg068_baeS_100225,18,280,baeS,5,84,TRUE,FALSE,Adrian,,,
DUMM_gitg068_baeS_100225,18,506,baeS,0,53,TRUE,FALSE,Adrian,,,
DUMM_gitg068_baeS_100225,18,1185,baeS,10,null,TRUE,FALSE,Adrian,,,
DUMM_gitg068_baeS_100225,18,1260,baeS,10,null,TRUE,FALSE,Adrian,,,
DUMM_gitg068_baeS_100225,19,309,baeS,0,32,TRUE,FALSE,Adrian,,,
DUMM_gitg068_baeS_100225,19,385,baeS,10,null,TRUE,FALSE,Adrian,,,
DUMM_gitg068_baeS_100225,19,1063,baeS,5,null,TRUE,FALSE,Adrian,,,
DUMM_gitg068_baeS_100225,19,1138,baeS,0,null,TRUE,FALSE,Adrian,,,
DUMM_gitg068_baeS_100225,19,1358,baeS,20,null,TRUE,FALSE,Adrian,,,
DUMM_gitg068_baeS_100225,19,1659,baeS,18,null,TRUE,FALSE,Adrian,not as neat movement ,,
DUMM_gitg068_baeS_100225,19,1734,baeS,11,null,TRUE,FALSE,Adrian,could also try 35-null,,
DUMM_gitg068_baeS_100225,19,159,baeS,0,null,TRUE,FALSE,Adrian,,,
DUMM_gitg068_baeS_100225,20,732,baeS,0,62,TRUE,FALSE,Adrian,could also try 31-62,,
DUMM_gitg068_baeS_100225,20,958,baeS,0,60,TRUE,FALSE,Adrian,,,
DUMM_gitg068_baeS_100225,20,1184,baeS,0,null,TRUE,FALSE,Adrian,could also try 14-null, ,
DUMM_gitg068_baeS_100225,20,1635,baeS,0,60,TRUE,FALSE,Adrian,,,
DUMM_gitg068_baeS_100225,20,1711,baeS,8,39,TRUE,FALSE,Adrian,,,
DUMM_gitg068_baeS_100225,21,348,baeS,0,69,TRUE,FALSE,Adrian,,,
DUMM_gitg068_baeS_100225,21,498,baeS,7,null,TRUE,FALSE,Adrian,,,
DUMM_gitg068_baeS_100225,21,574,baeS,14,85,TRUE,FALSE,Adrian,,,
DUMM_gitg068_baeS_100225,21,649,baeS,9,null,TRUE,FALSE,Adrian,,,
DUMM_gitg068_baeS_100225,21,724,baeS,22,49,TRUE,FALSE,Adrian,,,
DUMM_gitg068_baeS_100225,21,1402,baeS,62,null,TRUE,FALSE,Adrian,try  14-null,,
DUMM_gitg068_baeS_100225,21,1553,baeS,6,null,TRUE,FALSE,Adrian,try 6-50,,
DUMM_gitg068_baeS_100225,21,1930,baeS,10,null,TRUE,FALSE,Adrian,,,
DUMM_gitg068_baeS_100225,22,377,baeS,17,null,TRUE,FALSE,Adrian,try  43-null,,
DUMM_gitg068_baeS_100225,22,679,baeS,24,null,TRUE,FALSE,Adrian,,,
DUMM_gitg068_baeS_100225,22,980,baeS,16,null,TRUE,FALSE,Adrian,,,
DUMM_gitg068_baeS_100225,22,1206,baeS,11,null,TRUE,FALSE,Adrian,,,
DUMM_gitg068_baeS_100225,22,1281,baeS,18,null,TRUE,FALSE,Adrian,,,
DUMM_gitg068_baeS_100225,23,131,baeS,0,47,TRUE,FALSE,Adrian,,,
DUMM_gitg068_baeS_100225,23,282,baeS,26,50,TRUE,FALSE,Adrian,,,
DUMM_gitg068_baeS_100225,23,508,baeS,0,75,TRUE,FALSE,Adrian,,,
DUMM_gitg068_baeS_100225,23,583,baeS,18,null,TRUE,FALSE,Adrian,,,
DUMM_gitg068_baeS_100225,23,734,baeS,31,null,TRUE,FALSE,Adrian,try 0-null,,
DUMM_gitg068_baeS_100225,23,1035,baeS,36,null,TRUE,FALSE,Adrian,,,
DUMM_gitg068_baeS_100225,23,1111,baeS,0,70,TRUE,FALSE,Adrian, ,,
DUMM_gitg068_baeS_100225,23,1186,baeS,33,null,TRUE,FALSE,Adrian,51-null,,
DUMM_gitg068_baeS_100225,23,1789,baeS,2,46,TRUE,FALSE,Adrian,,,
DUMM_baeS_gfcE_112025,5,872,baeS,,,FALSE,FALSE,Heena,redo segmentation,Flag Adrian,
DUMM_baeS_gfcE_112025,5,1782,baeS,,,FALSE,FALSE,Heena,redo segmentation,Flag Adrian,
DUMM_baeS_gfcE_112025,11,171,gfcE,0,null,TRUE,FALSE,Heena,or try 43-null,,
DUMM_baeS_gfcE_112025,11,247,gfcE,0,30,TRUE,FALSE,Heena,,,
DUMM_baeS_gfcE_112025,11,635,gfcE,0,null,TRUE,FALSE,Heena,,,
DUMM_baeS_gfcE_112025,11,1619,gfcE,17,36,TRUE,FALSE,Heena,,,
DUMM_baeS_gfcE_112025,12,1156,gfcE,0,89,TRUE,FALSE,Heena,,,
DUMM_baeS_gfcE_112025,12,1460,gfcE,0,73,TRUE,FALSE,Heena,,,
DUMM_baeS_gfcE_112025,16,247,gfcE,0,33,TRUE,FALSE,Heena,,,
DUMM_baeS_gfcE_112025,16,1537,gfcE,0,48,TRUE,FALSE,Heena,Can try 0-89,,
DUMM_giTG066_063_120925,2,989,baeS,0,null,TRUE,FALSE,Heena,,,
DUMM_giTG066_063_120925,2,1979,baeS,37,null,TRUE,FALSE,Heena,I hope it got saved correctly,,
DUMM_giTG066_063_120925,7,721,baeS,0,24,TRUE,FALSE,Heena,,,
DUMM_giTG066_063_120925,7,874,baeS,0,null,TRUE,FALSE,Heena,,,
DUMM_giTG066_063_120925,18,1040,alkA,0,70,TRUE,FALSE,Heena,,,
DUMM_giTG066_063_120925,18,584,alkA,43,null,TRUE,FALSE,Heena,worth trying 5- 37 and or 5-null,,
DUMM_giTG066_063_120925,18,1877,alkA,0,null,TRUE,FALSE,Heena,,,
DUMM_giTG066_063_120925,19,1621,alkA,,,FALSE,FALSE,Heena,,Flag Adrian,
DUMM_giTG060_064_121425,0,1268,mazF,0,29,TRUE,FALSE,Adrian,,,
DUMM_giTG060_064_121425,0,1343,mazF,58,null,TRUE,FALSE,Adrian,downwards movement,,
DUMM_giTG060_064_121425,0,433,mazF,44,null,TRUE,FALSE,Adrian,,,
DUMM_giTG060_064_121425,5,1228,mazF,0,31,TRUE,FALSE,Adrian,,,
DUMM_giTG060_064_121425,5,620,mazF,0,11,TRUE,FALSE,Adrian,might be a lost cause ,,
DUMM_giTG060_064_121425,13,153,gfcE,1,67,TRUE,FALSE,Adrian,,,
DUMM_giTG060_064_121425,13,229,gfcE,19,44,TRUE,FALSE,Adrian,,,
DUMM_giTG060_064_121425,13,1909,gfcE,3,43,TRUE,FALSE,Adrian,,,
DUMM_giTG060_064_121425,14,226,gfcE,1,50,TRUE,FALSE,Adrian,else try 13- 50,,
DUMM_giTG060_064_121425,14,1824,gfcE,0,48,TRUE,FALSE,Adrian, ,,
DUMM_giTG060_064_121425,14,1672,gfcE,0,23,TRUE,FALSE,Adrian,,,
DUMM_giTG060_064_121425,20,196,gfcE,0,25,TRUE,FALSE,Adrian,,,
DUMM_giTG060_064_121425,20,799,gfcE,0,24,TRUE,FALSE,Adrian,,,
DUMM_giTG060_064_121425,20,874,gfcE,0,25,TRUE,FALSE,Adrian,,,
DUMM_giTG060_064_121425,20,1100,gfcE,0,16,TRUE,FALSE,Adrian,  ,,
DUMM_giTG060_064_121425,20,1176,gfcE,0,null,TRUE,FALSE,Adrian,looks noisy,, 
DUMM_giTG060_064_121425,20,1251,gfcE,0,40,TRUE,FALSE,Adrian,,,
DUMM_giTG060_064_121425,20,1855,gfcE,25,null,TRUE,FALSE,Adrian,up-> movement,,
DUMM_giTG060_064_121425,22,350,gfcE,25,null,TRUE,FALSE,Adrian,,,
DUMM_giTG060_064_121425,22,1412,gfcE,19,null,TRUE,FALSE,Adrian,,,
DUMM_giTG069_063_121125,1,807,alkA,0,13,TRUE,FALSE,Heena,,,
DUMM_giTG069_063_121125,1,654,alkA,0,59,TRUE,FALSE,Heena,,,
DUMM_giTG069_063_121125,1,1192,alkA,24,null,TRUE,FALSE,Heena,"potentiall all as well, ask Adrian",,
DUMM_giTG069_063_121125,1,1962,alkA,9,36,TRUE,FALSE,Heena,potentially 0-36,,
DUMM_giTG069_063_121125,5,773,alkA,0,89,TRUE,FALSE,Heena,,,
DUMM_giTG069_063_121125,6,164,alkA,0,89,TRUE,FALSE,Heena,,,
DUMM_giTG069_063_121125,6,699,alkA,0,35,TRUE,FALSE,Heena,,,
DUMM_giTG069_063_121125,6,1159,alkA,0,33,TRUE,FALSE,Heena,Original segmentation not very good,,
DUMM_giTG069_063_121125,8,54,alkA,0,25,TRUE,FALSE,Heena,FOV 8 is so perfect,,
DUMM_giTG069_063_121125,8,744,alkA,0,55,TRUE,FALSE,Heena,,,
DUMM_giTG069_063_121125,13,183,gldA,0,40,TRUE,FALSE,Heena,,,
DUMM_giTG069_063_121125,13,490,gldA,0,27,TRUE,FALSE,Heena,,,
DUMM_giTG069_063_121125,13,1410,gldA,0,69,TRUE,FALSE,Heena,,,
DUMM_giTG069_063_121125,13,1640,gldA,0,88,TRUE,FALSE,Heena,,,
DUMM_giTG069_063_121125,16,262,gldA,0,22,TRUE,FALSE,Heena,,,
DUMM_giTG069_063_121125,16,338,gldA,,,FALSE,FALSE,Heena,,Flag Adrian,
DUMM_giTG069_063_121125,16,951,gldA,0,28,TRUE,FALSE,Heena,,,
DUMM_giTG069_063_121125,16,1564,gldA,0,85,TRUE,FALSE,Heena,,,
DUMM_giTG069_063_121125,22,949,gldA,7,84,TRUE,FALSE,Heena,,,
DUMM_giTG069_063_121125,25,1051,gldA,,,FALSE,FALSE,Heena,Ask about start to end frame,Flag Adrian,
DUMM_giTG069_063_121125,25,1206,gldA,0,42,TRUE,FALSE,Heena,check chanel 4->5 dark green cell,,
DUMM_giTG069_063_121125,25,2052,gldA,5,76,TRUE,FALSE,Heena,,,
DUMM_giTG069_063_121225,0,1955,alkA,0,47,TRUE,FALSE,Heena,,,
DUMM_giTG069_063_121225,13,1499,gldA,0,79,TRUE,FALSE,Heena,,,
DUMM_giTG069_063_121225,18,2104,gldA,0,32,TRUE,FALSE,Heena,,,
DUMM_giTG069_063_121225,22,680,gldA,0,56,TRUE,FALSE,Heena,,,
DUMM_giTG069_063_121225,22,757,gldA,0,9,TRUE,FALSE,Heena,0-14,see if you can remove frame 10,
DUMM_giTG069_063_121225,22,1603,gldA,0,8,TRUE,FALSE,Heena,,,
DUMM_mazF_murQ_121625,5,41,mazF,12,null,TRUE,FALSE,Adrian,,,
DUMM_mazF_murQ_121625,5,801,mazF,2,null,TRUE,FALSE,Adrian,,,
DUMM_mazF_murQ_121625,5,1559,mazF,0,25,TRUE,FALSE,Adrian,,,
DUMM_mazF_murQ_121625,6,327,mazF,0,16,TRUE,FALSE,Adrian,,,
DUMM_mazF_murQ_121625,6,1768,mazF,1,38,TRUE,FALSE,Adrian,slightly blurry may need to go back and see if i can get more ,,
DUMM_mazF_murQ_121625,12,1042,mazF,34,null,TRUE,FALSE,Adrian,,,
DUMM_mazF_murQ_121625,12,358,mazF,4,null,TRUE,FALSE,Adrian,,,
DUMM_mazF_murQ_121625,16,875,murQ,0,10,TRUE,FALSE,Adrian,,,
DUMM_mazF_murQ_121625,16,951,murQ,2,43,TRUE,FALSE,Adrian,,,
DUMM_mazF_murQ_121625,16,648,murQ,1,48,TRUE,FALSE,Adrian,,,
DUMM_mazF_murQ_121625,17,312,murQ,2,21,TRUE,FALSE,Adrian,,,
DUMM_mazF_murQ_121625,17,691,murQ,2,32,TRUE,FALSE,Adrian,,,
DUMM_mazF_murQ_121625,17,1071,murQ,3,49,TRUE,FALSE,Adrian,,,
DUMM_mazF_murQ_121625,17,1298,murQ,2,42,TRUE,FALSE,Adrian,,,
DUMM_mazF_murQ_121625,18,1025,murQ,6,84,TRUE,FALSE,Adrian,,,
DUMM_mazF_murQ_121625,18,1329,murQ,0,53,TRUE,FALSE,Adrian,,,
DUMM_mazF_murQ_121625,18,1557,murQ,0,28,TRUE,FALSE,Adrian,,,
DUMM_CL008_giTG061_081225,15,327,araB,0,89,TRUE,FALSE,Hazel,,,
DUMM_CL008_giTG061_081225,15,480,araB,0,89,TRUE,FALSE,Hazel,,,
DUMM_CL008_giTG061_081225,15,1015,araB,27,88,TRUE,FALSE,Hazel,"bottom artifact was merged with bottom cell, I tried to fix it but (maybe skip that cell) ",,
DUMM_CL008_giTG061_081225,15,1092,araB,0,46,TRUE,FALSE,Hazel,,,
DUMM_CL008_giTG061_081225,16,30,araB,55,81,TRUE,FALSE,Hazel,"Fixed most of it but its too blurry, may not be reliable for fluorescence",,
DUMM_CL008_giTG061_081225,16,489,araB,0,14,TRUE,FALSE,Hazel,"This one is very incomplete but take a look at fluorescence, maybe it was kept due to that",,
DUMM_CL008_giTG061_081225,16,796,araB,0,20,TRUE,FALSE,Hazel,"Also short and incomplete, but check for fluorescence!",,
DUMM_CL008_giTG061_081225,16,1790,araB,0,19,TRUE,FALSE,Hazel,"Also short and incomplete, but check for fluorescence!",,
DUMM_CL008_giTG061_081225,17,970,araB,0,7,TRUE,FALSE,Hazel,short,,
DUMM_CL008_giTG061_081225,17,1123,araB,0,25,TRUE,FALSE,Hazel,"Also short and incomplete, but check for fluorescence!",,
DUMM_CL008_giTG061_081225,17,1276,araB,0,89,TRUE,FALSE,Hazel,"has a couple incomplete spots, but ok to run through",,
DUMM_CL008_giTG061_081225,18,196,araB,0,67,TRUE,FALSE,Hazel,"some frames are blurry, and cells stuck together",,
DUMM_CL008_giTG061_081225,19,589,araB,0,89,TRUE,FALSE,Hazel,"blurry, incomplere in spots but has at least 2 complete large sections",,
DUMM_CL008_giTG061_081225,19,1124,araB,0,89,TRUE,FALSE,Hazel,has artifact that makes cells look stuck together,,
DUMM_CL008_giTG061_081225,19,1201,araB,0,36,TRUE,FALSE,Hazel,"Short and fragmented, but check if it may have a signal and thats why it was chosen!",,
DUMM_CL008_giTG061_081225,19,1506,araB,0,null,TRUE,FALSE,Adrian,,,
DUMM_CL008_giTG061_081225,19,1736,araB,0,28,TRUE,FALSE,Adrian,can also try 9-28,,
DUMM_CL008_giTG061_081225,19,2042,araB,0,30,TRUE,FALSE,Adrian,,,
DUMM_CL008_giTG061_081225,20,293,araB,0,22,TRUE,FALSE,Adrian,,,
DUMM_CL008_giTG061_081225,20,830,araB,0,24,TRUE,FALSE,Adrian,,,
DUMM_CL008_giTG061_081225,20,2053,araB,7,null,TRUE,FALSE,Adrian,,,
DUMM_alkA_chpS_111325,11,449,chpS,0,8,TRUE,FALSE,Adrian,,,
DUMM_alkA_chpS_111325,11,753,chpS,7,72,TRUE,FALSE,Adrian,  ,,
DUMM_alkA_chpS_111325,11,2045,chpS,0,18,TRUE,FALSE,Adrian,,,
DUMM_alkA_chpS_111325,22,1526,alkA,2,61,TRUE,FALSE,Adrian,,,
DUMM_alkA_chpS_111325,22,154,alkA,0,8,TRUE,FALSE,Adrian,,,
DUMM_alkA_chpS_111325,10,251,chpS,9,76,TRUE,FALSE,Adrian,,,
DUMM_alkA_chpS_111325,10,632,chpS,0,20,TRUE,FALSE,Adrian,,,
DUMM_alkA_chpS_111325,5,1759,chpS,7,51,TRUE,FALSE,Adrian,,,
DUMM_alkA_chpS_111325,5,1911,chpS,14,55,TRUE,FALSE,Adrian,,,
DUMM_alkA_chpS_111325,6,160,chpS,1,31,TRUE,FALSE,Adrian,,,
DUMM_alkA_chpS_111325,6,1378,chpS,0,39,TRUE,FALSE,Adrian,,,
DUMM_alkA_chpS_111325,7,2007,chpS,1,39,TRUE,FALSE,Adrian,,,
DUMM_alkA_chpS_111325,3,716,chpS,0,51,TRUE,FALSE,Adrian,,,
DUMM_alkA_chpS_111325,3,1173,chpS,4,23,TRUE,FALSE,Adrian,,,
DUMM_alkA_chpS_111325,3,1249,chpS,0,8,TRUE,FALSE,Adrian,,,
DUMM_alkA_chpS_111325,3,1325,chpS,0,8,TRUE,FALSE,Adrian,,,
DUMM_alkA_chpS_111325,9,1220,chpS,1,63,TRUE,FALSE,Adrian,,,
DUMM_alkA_chpS_111325,17,690,alkA,0,18,TRUE,FALSE,Adrian,,,
DUMM_alkA_chpS_111325,17,1072,alkA,0,10,TRUE,FALSE,Adrian,,,
DUMM_alkA_chpS_111325,18,457,alkA,0,24,TRUE,FALSE,Adrian,,,
DUMM_alkA_chpS_111325,18,991,alkA,0,26,TRUE,FALSE,Adrian,,,
DUMM_alkA_chpS_111325,23,572,alkA,0,24,TRUE,FALSE,Adrian,, ,
DUMM_alkA_chpS_111325,23,648,alkA,0,24,TRUE,FALSE,Adrian,,,
DUMM_alkA_chpS_111325,23,801,alkA,0,18,TRUE,FALSE,Adrian,,,
DUMM_giTG059_068_SC_093025,15,228,lacZ,0,null,TRUE,TRUE,Adrian,,,
DUMM_giTG059_068_SC_093025,15,379,lacZ,0,50,TRUE,TRUE,Adrian,,,
DUMM_giTG059_068_SC_093025,15,681,lacZ,0,null,TRUE,TRUE,Adrian,,,
DUMM_giTG059_068_SC_093025,15,756,lacZ,0,null,TRUE,TRUE,Adrian,,,
DUMM_giTG059_068_SC_093025,15,831,lacZ,0,null,TRUE,TRUE,Adrian,,,
DUMM_giTG059_068_SC_093025,15,1284,lacZ,0,null,TRUE,TRUE,Adrian,,,
DUMM_giTG059_068_SC_093025,15,1586,lacZ,0,null,TRUE,TRUE,Adrian,,,
DUMM_giTG059_068_SC_093025,15,1963,lacZ,0,null,TRUE,TRUE,Adrian,,,
DUMM_giTG059_068_SC_093025,20,62,lacZ,4,69,TRUE,TRUE,Adrian,,,
DUMM_giTG059_068_SC_093025,20,514,lacZ,0,87,TRUE,TRUE,Adrian,,,
DUMM_giTG059_068_SC_093025,20,589,lacZ,0,null,TRUE,TRUE,Adrian,need to redo,,
DUMM_giTG059_068_SC_093025,20,665,lacZ,17,null,TRUE,TRUE,Adrian,,,
DUMM_giTG059_068_SC_093025,20,815,lacZ,25,null,TRUE,TRUE,Adrian,,,
DUMM_giTG059_068_SC_093025,20,1117,lacZ,12,52,TRUE,TRUE,Adrian,images look messy,,
DUMM_giTG059_068_SC_093025,20,1865,lacZ,0,85,TRUE,TRUE,Adrian,,,
CL008_giTG068_072925,3,236,araB,,,FALSE,FALSE,Heena,"OOOF, flag for adrian",,
CL008_giTG068_072925,3,312,araB,0,36,TRUE,FALSE,Heena,,,
CL008_giTG068_072925,3,1598,araB,0,null,TRUE,FALSE,Heena,,,
CL008_giTG068_072925,3,1900,araB,0,54,TRUE,FALSE,Heena,,,
CL008_giTG068_072925,7,65,araB,7,null,TRUE,FALSE,Heena,Can try 0-null,,
CL008_giTG068_072925,7,140,araB,0,44,TRUE,FALSE,Heena,,"This is perfect, I didn't need to do anything about it",
CL008_giTG068_072925,7,594,araB,0,78,TRUE,FALSE,Heena,,,
CL008_giTG068_072925,7,821,araB,0,60,TRUE,FALSE,Heena,,,
CL008_giTG068_072925,7,1048,araB,0,null,TRUE,FALSE,Heena,,,
CL008_giTG068_072925,7,1200,araB,0,null,TRUE,FALSE,Heena,,,
CL008_giTG068_072925,7,1351,araB,0,85,TRUE,FALSE,Heena,,,
CL008_giTG068_072925,7,1502,araB,0,44,TRUE,FALSE,Heena,,,
CL008_giTG068_072925,9,173,araB,0,37,TRUE,FALSE,Heena,,,
CL008_giTG068_072925,9,551,araB,0,null,TRUE,FALSE,Heena,,,
CL008_giTG068_072925,9,703,araB,0,41,TRUE,FALSE,Heena,,,
CL008_giTG068_072925,9,1687,araB,0,null,TRUE,FALSE,Heena,,,
